ident;type;name;elevation_ft;continent;iso_country;iso_region;municipality;gps_code;iata_code;local_code;coordinates1;coordinates2
LHKE;medium_airport;KecskemÃ©t Airport;376;EU;HU;HU-BK;KecskemÃ©t;LHKE;;;19,74920082;46,91749954
LHPP;medium_airport;PÃ©cs-PogÃ¡ny Airport;1000;EU;HU;HU-BA;PÃ©cs-PogÃ¡ny;LHPP;PEV;;18,240996;45,990898
LHPR;medium_airport;GyÅr-PÃ©r International Airport;424;EU;HU;HU-GS;GyÅr;LHPR;;;17,813601;47,624401
LHSM;medium_airport;HÃ©vÃ­zâBalaton Airport;408;EU;HU;HU-ZA;SÃ¡rmellÃ©k;LHSM;SOB;;17,159084;46,686391
LHSN;medium_airport;Szolnok Air Base;322;EU;HU;HU-JN;Szolnok;LHSN;;;20,2355;47,122897
LHTA;medium_airport;TaszÃ¡r Air Base;531;EU;HU;HU-SO;TaszÃ¡r;LHTA;TZR;;17,91749954;46,39310074
LHTL;medium_airport;TÃ¶kÃ¶l Airport;318;EU;HU;HU-PE;TÃ¶kÃ¶l;LHTL;;;18,98080063;47,34529877
LIBA;medium_airport;Amendola Air Base;183;EU;IT;IT-75;Foggia;LIBA;;FG06;15,7181;41,541401
LIBC;medium_airport;Crotone Airport;522;EU;IT;IT-78;Crotone;LIBC;CRV;KR01;17,0802;38,9972
LIBD;large_airport;Bari Karol WojtyÅa Airport;177;EU;IT;IT-75;Bari;LIBD;BRI;BA02;16,760599;41,138901
LIBF;medium_airport;"Foggia ""Gino Lisa"" Airport";265;EU;IT;IT-75;Foggia;LIBF;FOG;FG05;15,535;41,432899
LIBG;medium_airport;"Taranto-Grottaglie ""Marcello Arlotta"" Airport";215;EU;IT;IT-75;Grottaglie;LIBG;TAR;TA02;17,4032;40,517502
LIBN;medium_airport;Lecce Galatina Air Base;156;EU;IT;IT-75;;LIBN;LCC;LE08;18,133301;40,239201
LIBP;medium_airport;Pescara International Airport;48;EU;IT;IT-65;Pescara;LIBP;PSR;PE01;14,1811;42,431702
LIBR;medium_airport;Brindisi â Salento Airport;47;EU;IT;IT-75;Brindisi;LIBR;BDS;BR03;17,947001;40,6576
LIBV;medium_airport;Gioia Del Colle Air Base;1187;EU;IT;IT-75;Gioia Del Colle (BA);LIBV;;BA07;16,9333;40,767799
LICA;medium_airport;Lamezia Terme Airport;39;EU;IT;IT-78;Lamezia Terme (CZ);LICA;SUF;CZ02;16,2423;38,905399
LICB;medium_airport;Comiso Airport;623;EU;IT;IT-82;Comiso;LICB;CIY;RG06;14,607182;36,994601
LICC;large_airport;Catania-Fontanarossa Airport;39;EU;IT;IT-82;Catania;LICC;CTA;CT03;15,0664;37,466801
LICD;medium_airport;Lampedusa Airport;70;EU;IT;IT-82;Lampedusa;LICD;LMP;AG01;12,6181;35,497898
LICG;medium_airport;Pantelleria Airport;628;EU;IT;IT-82;Pantelleria (TP);LICG;PNL;TP02;11,9689;36,816502
LICJ;large_airport;FalconeâBorsellino Airport;65;EU;IT;IT-82;Palermo;LICJ;PMO;PA03;13,091;38,175999
LICP;medium_airport;Palermo-Boccadifalco Airport;345;EU;IT;IT-82;Palermo;LICP;;PA04;13,3133;38,110802
LICR;medium_airport;Reggio Calabria Airport;96;EU;IT;IT-78;Reggio Calabria;LICR;REG;RC01;15,6516;38,071201
LICT;medium_airport;Vincenzo Florio Airport Trapani-Birgi;25;EU;IT;IT-82;Trapani (TP);LICT;TPS;TP01;12,488;37,9114
LICZ;medium_airport;Sigonella Navy Air Base;79;EU;IT;IT-82;Sigonella (CT);LICZ;NSY;CT04;14,9224;37,401699
LIDT;medium_airport;Trento-Mattarello Airport;610;EU;IT;IT-32;Trento (TN);LIDT;;TN01;11,1242;46,0214
LIEA;medium_airport;Alghero-Fertilia Airport;87;EU;IT;IT-88;Alghero;LIEA;AHO;SS02;8,29077;40,632099
LIED;medium_airport;Decimomannu Air Base;100;EU;IT;IT-88;Decimomannu;LIED;DCI;CA12;8,97248;39,354198
LIEE;large_airport;Cagliari Elmas Airport;13;EU;IT;IT-88;Cagliari;LIEE;CAG;CA07;9,05428;39,251499
LIEO;medium_airport;Olbia Costa Smeralda Airport;37;EU;IT;IT-88;Olbia (SS);LIEO;OLB;SS03;9,51763;40,898701
LIET;medium_airport;TortolÃ¬ Airport;23;EU;IT;IT-88;Arbatax;LIET;TTB;NU01;9,68298;39,9188
LILA;medium_airport;Alessandria Airport;299;EU;IT;IT-21;Alessandria;LILA;;AL03;8,62513;44,925201
LILE;medium_airport;Biella-Cerrione Airport;920;EU;IT;IT-21;Biella (BI);LILE;;BI03;8,10278;45,4953
LILI;medium_airport;Vercelli Airport;417;EU;IT;IT-21;Vercelli;LILI;;VC04;8,417935;45,310233
LILM;medium_airport;Casale Monferrato Airport;377;EU;IT;IT-21;Casale Monferrato;LILM;;AL04;8,45603;45,111198
LILN;medium_airport;Varese-Venegono Airport;1050;EU;IT;IT-25;Varese;LILN;;VA02;8,888233;45,742199
LIMA;medium_airport;Torino-Aeritalia Airport;943;EU;IT;IT-21;Torino;LIMA;;TO12;7,60337;45,086399
LIMC;large_airport;Malpensa International Airport;768;EU;IT;IT-25;Milan;LIMC;MXP;MI12;8,72811;45,6306
LIME;large_airport;Milan Bergamo Airport;782;EU;IT;IT-25;Bergamo;LIME;BGY;BG01;9,70417;45,673901
LIMF;large_airport;Turin Airport;989;EU;IT;IT-21;Torino;LIMF;TRN;TO11;7,64963;45,200802
LIMG;medium_airport;Villanova D'Albenga International Airport;148;EU;IT;IT-42;Albenga (SV);LIMG;ALL;SV01;8,12743;44,050598
LIMJ;large_airport;Genoa Cristoforo Colombo Airport;13;EU;IT;IT-42;Genova;LIMJ;GOA;GE01;8,8375;44,4133
LIML;large_airport;Milano Linate Airport;353;EU;IT;IT-25;Milan;LIML;LIN;MI11;9,27674;45,445099
LIMN;medium_airport;Cameri Air Base [MIL];586;EU;IT;IT-21;Cameri (NO);LIMN;;NO08;8,66922;45,529598
LIMP;medium_airport;Parma Airport;161;EU;IT;IT-45;Parma;LIMP;PMF;PR03;10,2964;44,824501
LIMR;medium_airport;Novi Ligure Airport;607;EU;IT;IT-21;Novi Ligure;LIMR;;AL05;8,78639;44,779999
